table_name,column_name,datatype,unit,description
des_dr2.mag,mag_aper_5_i,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_5_r,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_5_y,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_5_z,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_6_g,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_6_i,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_6_r,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_6_y,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_6_z,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_7_g,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_7_i,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_7_r,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_7_y,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_7_z,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_8_g,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_8_i,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_8_r,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_8_y,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_8_z,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_9_g,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_9_i,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_9_r,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_9_y,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_9_z,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_auto_g,adql:REAL,mag,"g-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,mag_auto_i,adql:REAL,mag,"i-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,mag_auto_r,adql:REAL,mag,"r-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,mag_auto_y,adql:REAL,mag,"y-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,mag_auto_z,adql:REAL,mag,"z-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,mag_petro_g,adql:REAL,mag,g-band magnitude for a petrosian radius [mag]
des_dr2.mag,mag_petro_i,adql:REAL,mag,i-band magnitude for a petrosian radius [mag]
des_dr2.mag,mag_petro_r,adql:REAL,mag,r-band magnitude for a petrosian radius [mag]
des_dr2.mag,mag_petro_y,adql:REAL,mag,y-band magnitude for a petrosian radius [mag]
des_dr2.mag,mag_petro_z,adql:REAL,mag,z-band magnitude for a petrosian radius [mag]
des_dr2.mag,petro_radius_g,adql:REAL,pixel,g-band petrosian radius [pixel]
des_dr2.mag,petro_radius_i,adql:REAL,pixel,i-band petrosian radius [pixel]
des_dr2.mag,petro_radius_r,adql:REAL,pixel,r-band petrosian radius [pixel]
des_dr2.mag,petro_radius_y,adql:REAL,pixel,y-band petrosian radius [pixel]
des_dr2.mag,petro_radius_z,adql:REAL,pixel,z-band petrosian radius [pixel]
