table_name,column_name,datatype,unit,description
des_dr2.main,magerr_auto_g,adql:REAL,mag,"g-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,magerr_auto_i,adql:REAL,mag,"i-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,magerr_auto_r,adql:REAL,mag,"r-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,magerr_auto_y,adql:REAL,mag,"y-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,magerr_auto_z,adql:REAL,mag,"z-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_g,adql:REAL,mag,"g-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_g_dered,adql:REAL,mag,"g-band dereddened magnitude estimation (using sfd98), for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_i,adql:REAL,mag,"i-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_i_dered,adql:REAL,mag,"i-band dereddened magnitude estimation (using sfd98), for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_r,adql:REAL,mag,"r-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_r_dered,adql:REAL,mag,"r-band dereddened magnitude estimation (using sfd98), for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_y,adql:REAL,mag,"y-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_y_dered,adql:REAL,mag,"y-band dereddened magnitude estimation (using sfd98), for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_z,adql:REAL,mag,"z-band magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.main,mag_auto_z_dered,adql:REAL,mag,"z-band dereddened magnitude estimation (using sfd98), for an elliptical model based on the kron radius [mag]"
des_dr2.main,nepochs_g,adql:INTEGER,,g-band number of epochs the source is detected in single epoch images
des_dr2.main,nepochs_i,adql:INTEGER,,i-band number of epochs the source is detected in single epoch images
des_dr2.main,nepochs_r,adql:INTEGER,,r-band number of epochs the source is detected in single epoch images
des_dr2.main,nepochs_y,adql:INTEGER,,y-band number of epochs the source is detected in single epoch images
des_dr2.main,nepochs_z,adql:INTEGER,,z-band number of epochs the source is detected in single epoch images
des_dr2.main,niter_model_g,adql:INTEGER,,g-band number of iterations in model fitting photometric measurements
des_dr2.main,niter_model_i,adql:INTEGER,,i-band number of iterations in model fitting photometric measurements
des_dr2.main,niter_model_r,adql:INTEGER,,r-band number of iterations in model fitting photometric measurements
des_dr2.main,niter_model_y,adql:INTEGER,,y-band number of iterations in model fitting photometric measurements
des_dr2.main,niter_model_z,adql:INTEGER,,z-band number of iterations in model fitting photometric measurements
des_dr2.main,ra,adql:DOUBLE,degrees,"right ascension, with quantized precision for indexing (alphawin_j2000 has full precision but not indexed) [degrees]"
des_dr2.main,spreaderr_model_g,adql:REAL,,g-band uncertainty in morphology based classifier based on comparison between psf versus exponential-psf model.
des_dr2.main,spreaderr_model_i,adql:REAL,,i-band uncertainty in morphology based classifier based on comparison between psf versus exponential-psf model.
des_dr2.main,spreaderr_model_r,adql:REAL,,r-band uncertainty in morphology based classifier based on comparison between psf versus exponential-psf model.
des_dr2.main,spreaderr_model_y,adql:REAL,,y-band uncertainty in morphology based classifier based on comparison between psf versus exponential-psf model.
des_dr2.main,spreaderr_model_z,adql:REAL,,z-band uncertainty in morphology based classifier based on comparison between psf versus exponential-psf model.
des_dr2.main,spread_model_g,adql:REAL,,"g-band morphology based classifier based on comparison between a psf versus exponential-psf model. values closer to 0 correspond to stars, larger values correspond to galaxies"
des_dr2.main,spread_model_i,adql:REAL,,"i-band morphology based classifier based on comparison between a psf versus exponential-psf model. values closer to 0 correspond to stars, larger values correspond to galaxies"
des_dr2.main,spread_model_r,adql:REAL,,"r-band morphology based classifier based on comparison between a psf versus exponential-psf model. values closer to 0 correspond to stars, larger values correspond to galaxies"
des_dr2.main,spread_model_y,adql:REAL,,"y-band morphology based classifier based on comparison between a psf versus exponential-psf model. values closer to 0 correspond to stars, larger values correspond to galaxies"
des_dr2.main,spread_model_z,adql:REAL,,"z-band morphology based classifier based on comparison between a psf versus exponential-psf model. values closer to 0 correspond to stars, larger values correspond to galaxies"
des_dr2.main,thetawin_image_g,adql:REAL,degrees,"g-band position angle of source, for converged windowed measurement grow from x to y [degrees]"
des_dr2.main,thetawin_image_i,adql:REAL,degrees,"i-band position angle of source, for converged windowed measurement grow from x to y [degrees]"
des_dr2.main,thetawin_image_r,adql:REAL,degrees,"r-band position angle of source, for converged windowed measurement grow from x to y [degrees]"
des_dr2.main,thetawin_image_y,adql:REAL,degrees,"y-band position angle of source, for converged windowed measurement grow from x to y [degrees]"
des_dr2.main,thetawin_image_z,adql:REAL,degrees,"z-band position angle of source, for converged windowed measurement grow from x to y [degrees]"
des_dr2.main,theta_j2000,adql:REAL,degrees,"position angle of source in j2000 coordinates, from non-windowed measurement [degrees]"
des_dr2.main,tilename,adql:CHAR,,identifier of each one of the tiles on which the survey is gridded
des_dr2.main,wavg_fluxerr_psf_g,adql:REAL,adu,g-band uncertainty of weighted averaged flux measurement of psf fit single epoch detections [adu]
des_dr2.main,wavg_fluxerr_psf_i,adql:REAL,adu,i-band uncertainty of weighted averaged flux measurement of psf fit single epoch detections [adu]
des_dr2.main,wavg_fluxerr_psf_r,adql:REAL,adu,r-band uncertainty of weighted averaged flux measurement of psf fit single epoch detections [adu]
des_dr2.main,wavg_fluxerr_psf_y,adql:REAL,adu,y-band uncertainty of weighted averaged flux measurement of psf fit single epoch detections [adu]
